Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
Q4J9M2	Crenarchaeota	Archaea	Thermoprotei	integral component of membrane [GO:0016021]; alpha-amylase activity [GO:0004556]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]	integral component of membrane [GO:0016021]	GO:0004556; GO:0005975; GO:0016021	Membrane bound alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 57 family	arCOG03284;	3.20.110.10;	CLU_321236_0_0_2;	YTLWNYL;	None	PF03065;	None	SSF88713;	None	3-3.5_count=1	None	95-105_count=1;80_count=2	None	None	90-95_count=1
Q97YY0	Crenarchaeota	Archaea	Thermoprotei	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	catalytic activity [GO:0003824]	integral component of membrane [GO:0016021]	GO:0003824; GO:0005975; GO:0016021	Uncharacterized protein	Glycosyl hydrolase 57 family	arCOG03284;	3.20.110.10;	CLU_321236_0_0_2;	YTLWNYL;	None	PF03065;	None	SSF88713;	None	None	None	None	None	None	None
O33476	Euryarchaeota	Archaea	Thermococci	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005975	Alpha-amylase	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	None	6.5_count=1	None	90_count=1	None	2280.0;amylose_count=1;2300.0;glycogen_count=2;4180.0;amylopectin_count=3;4680.0;starch_count=4	90_count=1
D0KTV8	Crenarchaeota	Archaea	Thermoprotei	alpha-amylase activity [GO:0004556]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]	None	GO:0004556; GO:0005975	Alpha-amylase (EC 3.2.1.1)	None	None	None	CLU_033691_0_0_2;	GWRSPNY;	None	PF03065;	None	SSF88713;	None	None	None	None	None	None	None
P96107	Thermotogae	Bacteria	Thermotogae	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]	None	GO:0004556; GO:0005975; GO:0043169	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	3.90.400.10;	None	None	None	PF00128;	SM00642;	SSF51445;	None	None	None	None	None	None	None
P06279	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	extracellular region [GO:0005576]	GO:0004556; GO:0005509; GO:0005576; GO:0005975	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	None	None	None	None	None	None	None
P04746	Chordata	Eukaryota	Mammalia	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; chloride ion binding [GO:0031404]; carbohydrate catabolic process [GO:0016052]; carbohydrate metabolic process [GO:0005975]; polysaccharide digestion [GO:0044245]	carbohydrate catabolic process [GO:0016052]; carbohydrate metabolic process [GO:0005975]; polysaccharide digestion [GO:0044245]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; chloride ion binding [GO:0031404]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	GO:0004556; GO:0005509; GO:0005576; GO:0005615; GO:0005975; GO:0016052; GO:0031404; GO:0044245; GO:0070062	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	KOG2212;	2.60.40.1180;	CLU_013336_2_1_1;	HPWWEVY;	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	None	None	None	None	None	None	None
P00690	Chordata	Eukaryota	Mammalia	extracellular space [GO:0005615]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; chloride ion binding [GO:0031404]; carbohydrate catabolic process [GO:0016052]	carbohydrate catabolic process [GO:0016052]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; chloride ion binding [GO:0031404]	extracellular space [GO:0005615]	GO:0004556; GO:0005509; GO:0005615; GO:0016052; GO:0031404	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	KOG2212;	2.60.40.1180;	None	None	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	0.065;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=1	7.2-7.5_count=1	None	54_count=1	None	291.0;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=1;0.017;starch_count=2;0.022;starch_count=3;0.035;starch_count=4;0.04;starch_count=5;518.0;starch_count=6	None
O08452	Euryarchaeota	Archaea	Thermococci	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005975	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	None	5.5-6_count=1	None	22_count=1;98_count=2	None	None	98_count=1
D4P4Y7	Ascomycota	Eukaryota	Saccharomycetes	cellular anatomical entity [GO:0110165]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate catabolic process [GO:0016052]	carbohydrate catabolic process [GO:0016052]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	cellular anatomical entity [GO:0110165]	GO:0004556; GO:0005509; GO:0016052; GO:0110165	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09260;	SM00642;	SSF51445;	None	5-6_count=1	None	40-50_count=1	None	None	None
Q1KLC8	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; starch binding [GO:2001070]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; starch binding [GO:2001070]	None	GO:0004556; GO:0005975; GO:0046872; GO:2001070	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.10;2.60.40.1180;	None	None	None	PF00128;PF02806;PF00686;	SM00642;SM00632;SM01065;	SSF49452;SSF51445;	None	7_count=1	None	60_count=1	None	None	60_count=1
Q8A1G3	Bacteroidetes	Bacteria	Bacteroidia	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; starch binding [GO:2001070]; oligosaccharide catabolic process [GO:0009313]; starch catabolic process [GO:0005983]	oligosaccharide catabolic process [GO:0009313]; starch catabolic process [GO:0005983]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; starch binding [GO:2001070]	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]	GO:0000287; GO:0004556; GO:0005509; GO:0005983; GO:0009279; GO:0009313; GO:0019867; GO:2001070	Alpha-amylase SusG (EC 3.2.1.1) (Starch-utilization system protein G)	Glycosyl hydrolase 13 family	COG0366;	2.60.40.10;2.60.40.1180;3.90.400.10;	CLU_006462_2_4_10;	YRSDYIE;	None	PF00128;	SM00642;	SSF51445;	None	None	None	None	None	None	None
P17654	Streptophyta	Eukaryota	Magnoliopsida	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; starch catabolic process [GO:0005983]; sucrose catabolic process [GO:0005987]	starch catabolic process [GO:0005983]; sucrose catabolic process [GO:0005987]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005983; GO:0005987	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Alpha-amylase isozyme 1B)	Glycosyl hydrolase 13 family	KOG0471;	2.60.40.1180;	CLU_030069_1_0_1;	GEQGYMP;	665362at2759;	PF07821;PF00128;	SM00642;SM00810;	SSF51445;	None	None	None	None	None	None	None
B8Y698	Arthropoda	Eukaryota	Insecta	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	None	GO:0004556; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	None	8_count=1	None	None	8e-06;proteinaceous inhibitor from wheat WI-1_count=1;0.00103;proteinaceous inhibitor from wheat WI-3_count=2;0.0021;acarbose_count=3	None	None
P00692	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	extracellular region [GO:0005576]	GO:0004556; GO:0005509; GO:0005576; GO:0005975	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	SVAKYYK;	None	PF00128;PF09154;	SM00642;	SSF51445;	167.6;starch_count=3	5-7_count=1	None	50-75_count=1	None	None	60_count=1
B8Y1H0	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]	GO:0004556; GO:0005576; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;	SM00642;SM00632;	SSF51445;	None	None	None	60_count=1	None	None	40-80_count=1
B1VK33	Cyanobacteria	Bacteria	None	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; glycosyltransferase activity [GO:0016757]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; glycosyltransferase activity [GO:0016757]	None	GO:0004556; GO:0005509; GO:0005975; GO:0016757	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;	SM00642;	SSF51445;	None	6.5-7.5_count=1	None	31_count=1	None	1920.0;rabbit glycogen_count=1;1940.0;Dextrin_count=2;3420.0;soluble potato starch_count=3;750.0;oyster glycogen_count=4	4-47_count=1
B5ARZ9	Thermotogae	Bacteria	Thermotogae	carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	None	None	GO:0005975	Alpha-amylase	None	None	2.60.40.1180;	None	VFMLAEW;	None	PF00128;	SM00642;	SSF51445;	0.07;soluble starch_count=1;1.26;maltotriose_count=2;1.69;maltopentaose_count=3;2.46;4-nitrophenyl alpha-D-maltohexaoside_count=4;3.37;maltoheptaose_count=5	6.5_count=1	None	75_count=1	None	0.02;soluble starch_count=1;25.0;maltoheptaose_count=2;283.0;maltopentaose_count=3;34.0;4-nitrophenyl alpha-D-maltohexaoside_count=4;809.0;maltotriose_count=5	90-100_count=1
P20845	Firmicutes	Bacteria	Bacilli	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	None	GO:0004556; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	None	3.90.400.10;	None	None	None	PF00128;PF11941;	SM00642;	SSF51445;	None	None	None	60.7_count=1;60_count=2	None	19.9;starch_count=1;25.7;starch_count=4	None
B6RB08	Mollusca	Eukaryota	Gastropoda	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	None	GO:0004556; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	None	6.5_count=1	None	50_count=1	None	None	60-70_count=1;40_count=2;30_count=3;50_count=4
P06278	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	extracellular region [GO:0005576]	GO:0004556; GO:0005509; GO:0005576; GO:0005975	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (BLA)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	0.012;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=4;0.147;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=6;0.281;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=15	5_count=1;7.4_count=2;7_count=3	13.0;Tris_count=1	37_count=1;25_count=2;70_count=3;60_count=4	None	205.0;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=6;34.0;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=12;8.73;4,6-ethylidene-[G7]-p-nitrophenyl-[G1]-alpha-D-maltoheptaoside_count=16	None
P04063	Streptophyta	Eukaryota	Magnoliopsida	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; starch catabolic process [GO:0005983]	starch catabolic process [GO:0005983]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005983	Alpha-amylase type B isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (AMY2-2) (High pI alpha-amylase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF07821;PF00128;	SM00642;SM00810;	SSF51445;	None	None	None	None	None	None	None
P00693	Streptophyta	Eukaryota	Magnoliopsida	extracellular space [GO:0005615]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; starch catabolic process [GO:0005983]	starch catabolic process [GO:0005983]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	extracellular space [GO:0005615]	GO:0004556; GO:0005509; GO:0005615; GO:0005983	Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF07821;PF00128;	SM00642;SM00810;	SSF51445;	0.758;2-chloro-4-nitrophenyl beta-D-maltoheptaoside_count=4	None	None	None	None	185.0;amylose DP440_count=5;52.0;2-chloro-4-nitrophenyl beta-D-maltoheptaoside_count=9	None
